fold,n_trees,validation_qwk,macro_f1,recall_class_3
1,941,0.45667205436584357,0.3828194097028812,0.14285714285714285
2,924,0.5079616947092741,0.4189375766635317,0.16666666666666666
3,502,0.45698213103904695,0.3762808803200603,0.0
4,634,0.4058210545463995,0.3836650674657015,0.14285714285714285
5,565,0.42054072931521214,0.3572814559359754,0.0
