fold,n_trees,validation_qwk,macro_f1,recall_class_3
1,985,0.4404967265925387,0.4035628778505684,0.2857142857142857
2,872,0.5159725800309147,0.41126231431724614,0.16666666666666666
3,669,0.4524091783239812,0.3787001504655866,0.0
4,720,0.41759109145062046,0.40832298452029336,0.14285714285714285
5,816,0.4305057401323594,0.36293088856451783,0.0
