fold,n_trees,validation_qwk,macro_f1,recall_class_3
1,836,0.4707557831130792,0.414089345600086,0.14285714285714285
2,1298,0.48576877277488795,0.42268870738479447,0.16666666666666666
3,705,0.462532232573615,0.4257883301181047,0.14285714285714285
4,792,0.42600719314906543,0.41101284520129827,0.14285714285714285
5,745,0.42021381816893466,0.3543900173978464,0.0
