seed,fold,model,candidate,inner_rmse
42,1,catboost,0,0.6769768587709699
42,1,catboost,1,0.6759634641748777
42,1,catboost,2,0.6756277874620005
42,1,xgboost,0,0.6930899805856825
42,1,xgboost,1,0.6750736877006006
42,1,xgboost,2,0.674196273936889
42,1,extra_trees,0,0.6839298645556009
42,1,extra_trees,1,0.6791605417799945
42,1,extra_trees,2,0.6777566329905641
42,1,ridge,0,1.0372348040532067
42,1,ridge,1,0.6881679317565734
42,1,ridge,2,0.6822388809176678
42,2,catboost,0,0.684608648731483
42,2,catboost,1,0.6832859880001829
42,2,catboost,2,0.6832049012060893
42,2,xgboost,0,0.6982106044921464
42,2,xgboost,1,0.6804826606474466
42,2,xgboost,2,0.6799843682818091
42,2,extra_trees,0,0.6930511386303043
42,2,extra_trees,1,0.6882832293394497
42,2,extra_trees,2,0.6873592963240506
42,2,ridge,0,1.0519372570790144
42,2,ridge,1,0.699454555042209
42,2,ridge,2,0.6914467152658542
42,3,catboost,0,0.6788747855902607
42,3,catboost,1,0.679039845998018
42,3,catboost,2,0.6794215066963605
42,3,xgboost,0,0.6911050447553597
42,3,xgboost,1,0.6769504203500003
42,3,xgboost,2,0.6768758742075534
42,3,extra_trees,0,0.6827798339394121
42,3,extra_trees,1,0.6809502288478274
42,3,extra_trees,2,0.6786405721173894
42,3,ridge,0,0.6894685930804034
42,3,ridge,1,0.6897697677277135
42,3,ridge,2,0.6833748834604136
42,4,catboost,0,0.6760311505724564
42,4,catboost,1,0.6752001154409877
42,4,catboost,2,0.6749087023874739
42,4,xgboost,0,0.6928564305012491
42,4,xgboost,1,0.6724328123292707
42,4,xgboost,2,0.6718530469889973
42,4,extra_trees,0,0.6841251986122076
42,4,extra_trees,1,0.6767861289802333
42,4,extra_trees,2,0.677134861531803
42,4,ridge,0,0.6905903243011483
42,4,ridge,1,0.6830736374467449
42,4,ridge,2,0.6772449455290355
42,5,catboost,0,0.6755505002383102
42,5,catboost,1,0.6751929661267518
42,5,catboost,2,0.676281108148875
42,5,xgboost,0,0.691156612788471
42,5,xgboost,1,0.670306068113269
42,5,xgboost,2,0.6721614408001103
42,5,extra_trees,0,0.6866419682138614
42,5,extra_trees,1,0.6797729439357065
42,5,extra_trees,2,0.6769697968261869
42,5,ridge,0,1.370146235106084
42,5,ridge,1,0.6845257374887993
42,5,ridge,2,0.6790343107640517
2026,1,catboost,0,0.674985357203849
2026,1,catboost,1,0.672933438415298
2026,1,catboost,2,0.6749070964954786
2026,1,xgboost,0,0.6920547604111318
2026,1,xgboost,1,0.674797912515892
2026,1,xgboost,2,0.6721124679009918
2026,1,extra_trees,0,0.6779290240176099
2026,1,extra_trees,1,0.6755396469741973
2026,1,extra_trees,2,0.6759875821808251
2026,1,ridge,0,1.7044240251428107
2026,1,ridge,1,0.6856408997789286
2026,1,ridge,2,0.6796885461944023
2026,2,catboost,0,0.6816534103720955
2026,2,catboost,1,0.6820077521634714
2026,2,catboost,2,0.6823717858888397
2026,2,xgboost,0,0.6961962524223538
2026,2,xgboost,1,0.6813212260490362
2026,2,xgboost,2,0.6788167995103195
2026,2,extra_trees,0,0.6898370924929756
2026,2,extra_trees,1,0.6855809468273242
2026,2,extra_trees,2,0.6837903220662898
2026,2,ridge,0,0.6963153358379154
2026,2,ridge,1,0.6902498619231103
2026,2,ridge,2,0.6850770643735756
2026,3,catboost,0,0.6767081645732242
2026,3,catboost,1,0.6756380007878424
2026,3,catboost,2,0.6775784910086936
2026,3,xgboost,0,0.6936443037309562
2026,3,xgboost,1,0.6755308367839757
2026,3,xgboost,2,0.6756983054186353
2026,3,extra_trees,0,0.6785210777059869
2026,3,extra_trees,1,0.6751986190065534
2026,3,extra_trees,2,0.6738811086236228
2026,3,ridge,0,1.1725793167372094
2026,3,ridge,1,0.6859921769502544
2026,3,ridge,2,0.6789269738514444
2026,4,catboost,0,0.6769907839940318
2026,4,catboost,1,0.6767463231960857
2026,4,catboost,2,0.6769546540160407
2026,4,xgboost,0,0.6898050267514025
2026,4,xgboost,1,0.6759026715117982
2026,4,xgboost,2,0.6768656101450948
2026,4,extra_trees,0,0.6753746200746769
2026,4,extra_trees,1,0.6727593340804254
2026,4,extra_trees,2,0.673834791147103
2026,4,ridge,0,1.2366294537462736
2026,4,ridge,1,0.6867019843273379
2026,4,ridge,2,0.6811860159772268
2026,5,catboost,0,0.6779056552392222
2026,5,catboost,1,0.6790646072730901
2026,5,catboost,2,0.6798450184986814
2026,5,xgboost,0,0.6963569859561362
2026,5,xgboost,1,0.6776299582527325
2026,5,xgboost,2,0.6769320169105462
2026,5,extra_trees,0,0.6869788598490032
2026,5,extra_trees,1,0.6816620844641503
2026,5,extra_trees,2,0.6802511472040998
2026,5,ridge,0,0.7395953462614613
2026,5,ridge,1,0.6890055022401235
2026,5,ridge,2,0.6819401326601344
