seed,fold,setup,validation_qwk
2026,4,Tuned weighted ensemble,0.47048593070633593
2026,4,Inner-selected single model,0.46291258910322763
2026,5,Dummy majority,0.0
2026,5,Ridge fixed midpoints,0.36577358063344956
2026,5,Baseline catboost,0.4678261009399297
2026,5,Tuned catboost,0.4678261009399297
2026,5,Baseline xgboost,0.4168603649600411
2026,5,Tuned xgboost,0.46221782093368147
2026,5,Baseline extra_trees,0.45779042162494366
2026,5,Tuned extra_trees,0.4628422525845337
2026,5,Baseline ridge,0.43809661677055123
2026,5,Tuned ridge,0.44215539409672233
2026,5,Baseline equal ensemble,0.48422576993426614
2026,5,Tuned equal ensemble,0.4940186930499063
2026,5,Tuned weighted ensemble,0.48589517087032374
2026,5,Inner-selected single model,0.4678261009399297
