setup,protocol,oof_qwk,mean_val_qwk,val_std_qwk,fold_1_qwk,fold_2_qwk,fold_3_qwk,fold_4_qwk,fold_5_qwk,pred_0_count,pred_1_count,pred_2_count,pred_3_count
equal blend | nested thresholds,outer validation; calibration on inner OOF only,0.47030504326544875,0.4696666775478858,0.03758178225899384,0.47286905488875797,0.5330323290522431,0.4787836947477012,0.4385046364527839,0.4251436725979435,1543,699,473,21
optimized blend | nested calibration,outer validation; calibration on inner OOF only,0.4596468349884495,0.4592946877459254,0.03635237010489724,0.4642163928125299,0.5061344765892863,0.4903142123514308,0.41730183241533647,0.41850652456104387,1483,746,464,43
xgboost_extra | nested thresholds,outer validation; calibration on inner OOF only,0.45540100255788185,0.45513293529198207,0.03831584797544,0.4678447007098012,0.5061344765892863,0.4802602142645277,0.41052575422123827,0.41089953067505713,1513,701,460,62
extra_trees | nested thresholds,outer validation; calibration on inner OOF only,0.45296261122603065,0.45265735374022265,0.02971579195098818,0.4656878632700244,0.4896641012318107,0.4718694769915559,0.4254152073374641,0.410650119870258,1421,851,444,20
catboost | nested thresholds,outer validation; calibration on inner OOF only,0.4519221253196887,0.4513707164162605,0.03207503219143185,0.44236281478421635,0.5000919567548603,0.4761085046010508,0.4194651962528163,0.4188251096883584,1481,739,497,19
ridge | nested thresholds,outer validation; calibration on inner OOF only,0.43470563795003336,0.43635931492961355,0.03408477460067873,0.43053439224660117,0.4983805510028877,0.4404479655607828,0.4130885263804519,0.3993451394573443,1510,767,448,11
equal blend | fixed thresholds,outer validation; calibration on inner OOF only,0.3662606974573507,0.3662741045491133,0.036848692112789294,0.3399300051789891,0.430921464330413,0.3778739603983856,0.32494999787225,0.35769509496552876,1282,1442,11,1
