fold,n_trees,validation_qwk,macro_f1,recall_class_3
1,853,0.4458996938121573,0.36864065566114135,0.14285714285714285
2,812,0.5085437689167411,0.4365774941040115,0.16666666666666666
3,627,0.45319962553353543,0.3740314962771426,0.0
4,647,0.40523150561319143,0.4067016031913292,0.14285714285714285
5,685,0.4304370156860874,0.36298823983034506,0.0
